a	a1
thời	tʰ ɤ2 j
thới	tʰ ɤ5 j
thơm	tʰ ɤ1 m
thớt	tʰ ɤ5 t
thu	tʰ u1
thù	tʰ u2
thủ	tʰ u4
thú	tʰ u5
thụ	tʰ u6
thua	tʰ uə1
thùa	tʰ uə2
thủa	tʰ uə4
thuần	tʰw ʷɤ̆2 n
thuẫn	tʰw ʷɤ̆3 n
thuấn	tʰw ʷɤ̆5 n
thuận	tʰw ʷɤ̆6 n
thuật	tʰw ʷɤ̆6 t
thúc	tʰ u5 k͡p
thục	tʰ u6 k͡p
thuê	tʰw ʷe1
thuế	tʰw ʷe5
thui	tʰ u1 j
thủi	tʰ u4 j
thùm	tʰ u2 m
thun	tʰ u1 n
thung	tʰ u1 ŋ͡m
thùng	tʰ u2 ŋ͡m
thủng	tʰ u4 ŋ͡m
thũng	tʰ u3 ŋ͡m
thúng	tʰ u5 ŋ͡m
thụng	tʰ u6 ŋ͡m
thuốc	tʰ uə5 k
thuộc	tʰ uə6 k
thuộm	tʰ uə6 m
thuôn	tʰ uə1 n
thuồng	tʰ uə2 ŋ
thuột	tʰ uə6 t
thuở	tʰ uə4
thụp	tʰ u6 p
thút	tʰ u5 t
thụt	tʰ u6 t
thuỷ	tʰ u4 j
thùy	tʰ u2 j
thủy	tʰ u4 j
thúy	tʰ u5 j
thụy	tʰ u6 j
thuyên	tʰw ʷiə1 n
thuyền	tʰw ʷiə2 n
thuyết	tʰw ʷiə5 t
thư	tʰ ɯ1
thừ	tʰ ɯ2
thử	tʰ ɯ4
thứ	tʰ ɯ5
thự	tʰ ɯ6
thưa	tʰ ɯə1
thừa	tʰ ɯə2
thửa	tʰ ɯə4
thức	tʰ ɯ5 k
thực	tʰ ɯ6 k
thừng	tʰ ɯ2 ŋ
thững	tʰ ɯ3 ŋ
thước	tʰ ɯə5 k
thược	tʰ ɯə6 k
thưỡi	tʰ ɯə3 j
thưỡn	tʰ ɯə3 n
thương	tʰ ɯə1 ŋ
thường	tʰ ɯə2 ŋ
thưởng	tʰ ɯə4 ŋ
thượng	tʰ ɯə6 ŋ
thượt	tʰ ɯə6 t
ti	t i1
tì	t i2
tỉ	t i4
tí	t i5
tị	t i6
tia	t iə1
tỉa	t iə4
tía	t iə5
tích	t i5 tʃ
tịch	t i6 tʃ
tiếc	t iə5 k
tiệc	t iə6 k
tiêm	t iə1 m
tiềm	t iə2 m
tiếm	t iə5 m
tiệm	t iə6 m
tiên	t iə1 n
tiền	t iə2 n
tiễn	t iə3 n
tiến	t iə5 n
tiện	t iə6 n
tiếng	t iə5 ŋ
tiếp	t iə5 p
tiệp	t iə6 p
tiết	t iə5 t
tiệt	t iə6 t
tiêu	t iə1 w
tiều	t iə2 w
tiểu	t iə4 w
tiễu	t iə3 w
tiếu	t iə5 w
tim	t i1 m
tìm	t i2 m
tỉm	t i4 m
tím	t i5 m
tin	t i1 n
tín	t i5 n
tinh	t i1 ɲ
tình	t i2 ɲ
tỉnh	t i4 ɲ
tĩnh	t i3 ɲ
tính	t i5 ɲ
tịnh	t i6 ɲ
tít	t i5 t
tiu	t i1 w
tĩu	t i3 w
tíu	t i5 w
to	t ɔ1
tò	t ɔ2
tỏ	t ɔ4
toa	tw ʷa1
toà	tw ʷa2
toả	tw ʷa4
tòa	tw ʷa2
tỏa	tw ʷa4
tọa	tw ʷa6
toác	tw ʷa5 k
toạc	tw ʷa6 k
toài	tw a2 j
toái	tw a5 j
toại	tw a6 j
toan	tw ʷa1 n
toàn	tw ʷa2 n
toản	tw ʷa4 n
toán	tw ʷa5 n
toang	tw ʷa1 ŋ
toáng	tw ʷa5 ŋ
toanh	tw ʷa1 ɲ
toát	tw ʷa5 t
tóc	t ɔ5 k͡p
tọc	t ɔ6 k͡p
toe	tw ʷɛ1
tòe	tw ʷɛ2
tóe	tw ʷɛ5
toét	tw ʷɛ5 t
toẹt	tw ʷɛ6 t
toi	t ɔ1 j
tòi	t ɔ2 j
tỏi	t ɔ4 j
tòm	t ɔ2 m
tóm	t ɔ5 m
ton	t ɔ1 n
tong	t ɔ1 ŋ͡m
tòng	t ɔ2 ŋ͡m
tỏng	t ɔ4 ŋ͡m
tóp	t ɔ5 p
tọp	t ɔ6 p
tót	t ɔ5 t
tô	t o1
tổ	t o4
tố	t o5
tốc	t o5 k͡p
tộc	t o6 k͡p
tôi	t o1 j
tồi	t o2 j
tối	t o5 j
tội	t o6 j
tôm	t o1 m
tôn	t o1 n
tồn	t o2 n
tổn	t o4 n
tốn	t o5 n
tông	t o1 ŋ͡m
tổng	t o4 ŋ͡m
tống	t o5 ŋ͡m
tốp	t o5 p
tốt	t o5 t
tột	t o6 t
tơ	t ɤ1
tờ	t ɤ2
tớ	t ɤ5
tợ	t ɤ6
tơi	t ɤ1 j
tới	t ɤ5 j
tởm	t ɤ4 m
tớn	t ɤ5 n
tợn	t ɤ6 n
tớp	t ɤ5 p
tợp	t ɤ6 p
tra	ʈ a1
trà	ʈ a2
trả	ʈ a4
trã	ʈ a3
trá	ʈ a5
trác	ʈ a5 k
trạc	ʈ a6 k
trách	ʈ a5 tʃ
trạch	ʈ a6 tʃ
trai	ʈ a1 j
trài	ʈ a2 j
trải	ʈ a4 j
trãi	ʈ a3 j
trái	ʈ a5 j
trại	ʈ a6 j
tràm	ʈ a2 m
trảm	ʈ a4 m
trám	ʈ a5 m
trạm	ʈ a6 m
tràn	ʈ a2 n
trán	ʈ a5 n
trang	ʈ a1 ŋ
tràng	ʈ a2 ŋ
trảng	ʈ a4 ŋ
tráng	ʈ a5 ŋ
trạng	ʈ a6 ŋ
tranh	ʈ ɛ1 ɲ
trành	ʈ ɛ2 ɲ
tránh	ʈ ɛ5 ɲ
trao	ʈ a1 w
trào	ʈ a2 w
trảo	ʈ a4 w
tráo	ʈ a5 w
tráp	ʈ a5 p
trát	ʈ a5 t
trau	ʈ ă1 w
trảu	ʈ ă4 w
tray	ʈ ă1 j
trắc	ʈ ă5 k
trặc	ʈ ă6 k
trăm	ʈ ă1 m
trăn	ʈ ă1 n
trằn	ʈ ă2 n
trặn	ʈ ă6 n
trăng	ʈ ă1 ŋ
trắng	ʈ ă5 ŋ
trâm	ʈ ɤ̆1 m
trầm	ʈ ɤ̆2 m
trẫm	ʈ ɤ̆3 m
trân	ʈ ɤ̆1 n
trần	ʈ ɤ̆2 n
trấn	ʈ ɤ̆5 n
trận	ʈ ɤ̆6 n
trật	ʈ ɤ̆6 t
trâu	ʈ ɤ̆1 w
trầu	ʈ ɤ̆2 w
trấu	ʈ ɤ̆5 w
trầy	ʈ ɤ̆2 j
trẩy	ʈ ɤ̆4 j
tre	ʈ ɛ1
trẻ	ʈ ɛ4
trém	ʈ ɛ5 m
trẽn	ʈ ɛ3 n
treo	ʈ eo1
trèo	ʈ eo2
trẻo	ʈ eo4
tréo	ʈ eo5
trẹo	ʈ eo6
trét	ʈ ɛ5 t
trê	ʈ e1
trề	ʈ e2
trễ	ʈ e3
trệ	ʈ e6
trếch	ʈ e5 tʃ
trên	ʈ e1 n
trệt	ʈ e6 t
trêu	ʈ ɛu1
tri	ʈ i1
trì	ʈ i2
trĩ	ʈ i3
trí	ʈ i5
trị	ʈ i6
trỉa	ʈ iə4
trịa	ʈ iə6
trích	ʈ i5 tʃ
trịch	ʈ i6 tʃ
triền	ʈ iə2 n
triển	ʈ iə4 n
triêng	ʈ iə1 ŋ
triềng	ʈ iə2 ŋ
triệng	ʈ iə6 ŋ
triết	ʈ iə5 t
triệt	ʈ iə6 t
triều	ʈ iə2 w
triệu	ʈ iə6 w
trinh	ʈ i1 ɲ
trình	ʈ i2 ɲ
trịnh	ʈ i6 ɲ
trịt	ʈ i6 t
trìu	ʈ i2 w
trĩu	ʈ i3 w
tro	ʈ ɔ1
trò	ʈ ɔ2
trỏ	ʈ ɔ4
trọ	ʈ ɔ6
tróc	ʈ ɔ5 k͡p
trọc	ʈ ɔ6 k͡p
trói	ʈ ɔ5 j
trọi	ʈ ɔ6 j
tròn	ʈ ɔ2 n
trõn	ʈ ɔ3 n
trọn	ʈ ɔ6 n
trong	ʈ ɔ1 ŋ͡m
tròng	ʈ ɔ2 ŋ͡m
tróng	ʈ ɔ5 ŋ͡m
trọng	ʈ ɔ6 ŋ͡m
trót	ʈ ɔ5 t
trọt	ʈ ɔ6 t
trồ	ʈ o2
trổ	ʈ o4
trộ	ʈ o6
trôi	ʈ o1 j
trồi	ʈ o2 j
trỗi	ʈ o3 j
trối	ʈ o5 j
trội	ʈ o6 j
trôm	ʈ o1 m
trộm	ʈ o6 m
trốn	ʈ o5 n
trộn	ʈ o6 n
trông	ʈ o1 ŋ͡m
trồng	ʈ o2 ŋ͡m
trống	ʈ o5 ŋ͡m
trơ	ʈ ɤ1
trờ	ʈ ɤ2
trở	ʈ ɤ4
trớ	ʈ ɤ5
trợ	ʈ ɤ6
trơi	ʈ ɤ1 j
trời	ʈ ɤ2 j
trơn	ʈ ɤ1 n
trớn	ʈ ɤ5 n
trợn	ʈ ɤ6 n
trớt	ʈ ɤ5 t
trợt	ʈ ɤ6 t
tru	ʈ u1
trù	ʈ u2
trú	ʈ u5
trụ	ʈ u6
trụa	ʈ uə6
truân	ʈw ʷɤ̆1 n
truất	ʈw ʷɤ̆5 t
truật	ʈw ʷɤ̆6 t
trúc	ʈ u5 k͡p
trục	ʈ u6 k͡p
trui	ʈ u1 j
trùi	ʈ u2 j
trũi	ʈ u3 j
trụi	ʈ u6 j
trùm	ʈ u2 m
trúm	ʈ u5 m
trùn	ʈ u2 n
trung	ʈ u1 ŋ͡m
trùng	ʈ u2 ŋ͡m
trũng	ʈ u3 ŋ͡m
trúng	ʈ u5 ŋ͡m
truồng	ʈ uə2 ŋ
trút	ʈ u5 t
trụt	ʈ u6 t
truy	ʈw ʷi1
trụy	ʈ u6 j
truyền	ʈw ʷiə2 n
truyện	ʈw ʷiə6 n
trư	ʈ ɯ1
trừ	ʈ ɯ2
trữ	ʈ ɯ3
trứ	ʈ ɯ5
trưa	ʈ ɯə1
trực	ʈ ɯ6 k
trưng	ʈ ɯ1 ŋ
trừng	ʈ ɯ2 ŋ
trửng	ʈ ɯ4 ŋ
trứng	ʈ ɯ5 ŋ
trước	ʈ ɯə5 k
trườn	ʈ ɯə2 n
trương	ʈ ɯə1 ŋ
trường	ʈ ɯə2 ŋ
trưởng	ʈ ɯə4 ŋ
trưỡng	ʈ ɯə3 ŋ
trướng	ʈ ɯə5 ŋ
trượng	ʈ ɯə6 ŋ
trượt	ʈ ɯə6 t
tu	t u1
tù	t u2
tủ	t u4
tú	t u5
tụ	t u6
tua	t uə1
tủa	t uə4
túa	t uə5
tuân	tw ʷɤ̆1 n
tuần	tw ʷɤ̆2 n
tuấn	tw ʷɤ̆5 n
tuất	tw ʷɤ̆5 t
túc	t u5 k͡p
tục	t u6 k͡p
tuế	tw ʷe5
tuệ	tw ʷe6
tuếch	tw ʷe5 tʃ
tuệch	tw ʷe6 tʃ
tui	t u1 j
tủi	t u4 j
túi	t u5 j
tụi	t u6 j
tum	t u1 m
tùm	t u2 m
tủm	t u4 m
tũm	t u3 m
túm	t u5 m
tụm	t u6 m
tủn	t u4 n
tung	t u1 ŋ͡m
tùng	t u2 ŋ͡m
túng	t u5 ŋ͡m
tụng	t u6 ŋ͡m
tuộc	t uə6 k
tuổi	t uə4 j
tuôn	t uə1 n
tuồn	t uə2 n
tuông	t uə1 ŋ
tuồng	t uə2 ŋ
tuốt	t uə5 t
tuột	t uə6 t
túp	t u5 p
tút	t u5 t
tụt	t u6 t
tuy	tw ʷi1
tùy	t u2 j
tủy	t u4 j
túy	t u5 j
tụy	t u6 j
tuyên	tw ʷiə1 n
tuyền	tw ʷiə2 n
tuyển	tw ʷiə4 n
tuyến	tw ʷiə5 n
tuyết	tw ʷiə5 t
tuyệt	tw ʷiə6 t
tuýp	tw ʷi5 p
tuýt	tw ʷi5 t
tư	t ɯ1
từ	t ɯ2
tử	t ɯ4
tứ	t ɯ5
tự	t ɯ6
tưa	t ɯə1
tửa	t ɯə4
tựa	t ɯə6
tức	t ɯ5 k
tưng	t ɯ1 ŋ
từng	t ɯ2 ŋ
tửng	t ɯ4 ŋ
tước	t ɯə5 k
tược	t ɯə6 k
tươi	t ɯə1 j
tưởi	t ɯə4 j
tưới	t ɯə5 j
tươm	t ɯə1 m
tườm	t ɯə2 m
tương	t ɯə1 ŋ
tường	t ɯə2 ŋ
tưởng	t ɯə4 ŋ
tướng	t ɯə5 ŋ
tượng	t ɯə6 ŋ
tượp	t ɯə6 p
tửu	t ɯ4 w
tựu	t ɯ6 w
ty	t i1
tỳ	t i2
tỷ	t i4
tý	t i5
tỵ	t i6
u	u1
ù	u2
ủ	u4
ú	u5
ụ	u6
ùa	uə2
ủa	uə4
úa	uə5
uẩn	w ʷɤ̆4 n
uất	w ʷɤ̆5 t
úc	u5 k͡p
ục	u6 k͡p
uể	w ʷe4
uế	w ʷe5
ủi	u4 j
um	u1 m
úm	u5 m
ùn	u2 n
ủn	u4 n
ung	u1 ŋ͡m
ùng	u2 ŋ͡m
ủng	u4 ŋ͡m
úng	u5 ŋ͡m
uốn	uə5 n
uổng	uə4 ŋ
uống	uə5 ŋ
uột	uə6 t
úp	u5 p
út	u5 t
uy	w ʷi1
ủy	u4 j
úy	u5 j
uỵch	w ʷi6 tʃ
uyên	w ʷiə1 n
uyển	w ʷiə4 n
ư	ɯ1
ừ	ɯ2
ứ	ɯ5
ưa	ɯə1
ứa	ɯə5
ức	ɯ5 k
ực	ɯ6 k
ưng	ɯ1 ŋ
ừng	ɯ2 ŋ
ửng	ɯ4 ŋ
ứng	ɯ5 ŋ
ước	ɯə5 k
ươi	ɯə1 j
ươm	ɯə1 m
ướm	ɯə5 m
ươn	ɯə1 n
ưỡn	ɯə3 n
ương	ɯə1 ŋ
ướp	ɯə5 p
ướt	ɯə5 t
ưu	ɯ1 w
va	v a1
và	v a2
vả	v a4
vã	v a3
vá	v a5
vạ	v a6
vác	v a5 k
vạc	v a6 k
vách	v a5 tʃ
vạch	v a6 tʃ
vai	v a1 j
vài	v a2 j
vải	v a4 j
vãi	v a3 j
vái	v a5 j
vại	v a6 j
vàm	v a2 m
vạm	v a6 m
van	v a1 n
vàn	v a2 n
vãn	v a3 n
ván	v a5 n
vạn	v a6 n
vang	v a1 ŋ
vàng	v a2 ŋ
vảng	v a4 ŋ
vãng	v a3 ŋ
váng	v a5 ŋ
vanh	v ɛ1 ɲ
vành	v ɛ2 ɲ
vãnh	v ɛ3 ɲ
vánh	v ɛ5 ɲ
vào	v a2 w
váo	v a5 w
váp	v a5 p
vát	v a5 t
vạt	v a6 t
vay	v ă1 j
vày	v ă2 j
vảy	v ă4 j
váy	v ă5 j
vặc	v ă6 k
văn	v ă1 n
vằn	v ă2 n
vắn	v ă5 n
vặn	v ă6 n
văng	v ă1 ŋ
vằng	v ă2 ŋ
vẳng	v ă4 ŋ
vắng	v ă5 ŋ
vắt	v ă5 t
vặt	v ă6 t
vân	v ɤ̆1 n
vần	v ɤ̆2 n
vẩn	v ɤ̆4 n
vẫn	v ɤ̆3 n
vấn	v ɤ̆5 n
vận	v ɤ̆6 n
vâng	v ɤ̆1 ŋ
vầng	v ɤ̆2 ŋ
vấp	v ɤ̆5 p
vập	v ɤ̆6 p
vất	v ɤ̆5 t
vật	v ɤ̆6 t
vấu	v ɤ̆5 w
vây	v ɤ̆1 j
vầy	v ɤ̆2 j
vẩy	v ɤ̆4 j
vẫy	v ɤ̆3 j
vấy	v ɤ̆5 j
vậy	v ɤ̆6 j
ve	v ɛ1
vẻ	v ɛ4
vẽ	v ɛ3
vé	v ɛ5
ven	v ɛ1 n
vén	v ɛ5 n
vẹn	v ɛ6 n
veo	v eo1
vèo	v eo2
véo	v eo5
vẹo	v eo6
vét	v ɛ5 t
vẹt	v ɛ6 t
vê	v e1
về	v e2
vế	v e5
vệ	v e6
vếch	v e5 tʃ
vên	v e1 n
vện	v e6 n
vênh	v e1 ɲ
vết	v e5 t
vệt	v e6 t
vi	v i1
vì	v i2
vỉ	v i4
vĩ	v i3
ví	v i5
vị	v i6
vỉa	v iə4
vía	v iə5
việc	v iə6 k
viêm	v iə1 m
viên	v iə1 n
viền	v iə2 n
viển	v iə4 n
viễn	v iə3 n
viện	v iə6 n
viếng	v iə5 ŋ
viết	v iə5 t
việt	v iə6 t
vịm	v i6 m
vin	v i1 n
vịn	v i6 n
vinh	v i1 ɲ
vĩnh	v i3 ɲ
vịnh	v i6 ɲ
vít	v i5 t
vịt	v i6 t
víu	v i5 w
vo	v ɔ1
vò	v ɔ2
vỏ	v ɔ4
võ	v ɔ3
vó	v ɔ5
voan	vw ʷa1 n
vóc	v ɔ5 k͡p
voi	v ɔ1 j
vòi	v ɔ2 j
vòm	v ɔ2 m
von	v ɔ1 n
vỏn	v ɔ4 n
vón	v ɔ5 n
vong	v ɔ1 ŋ͡m
vòng	v ɔ2 ŋ͡m
võng	v ɔ3 ŋ͡m
vọng	v ɔ6 ŋ͡m
voọc	v ɔ6 k͡p
vót	v ɔ5 t
vọt	v ɔ6 t
vô	v o1
vồ	v o2
vỗ	v o3
vố	v o5
vôi	v o1 j
vối	v o5 j
vội	v o6 j
vồn	v o2 n
vốn	v o5 n
vông	v o1 ŋ͡m
vồng	v o2 ŋ͡m
vơ	v ɤ1
vờ	v ɤ2
vở	v ɤ4
vỡ	v ɤ3
vớ	v ɤ5
vợ	v ɤ6
vơi	v ɤ1 j
vời	v ɤ2 j
với	v ɤ5 j
vợi	v ɤ6 j
vờn	v ɤ2 n
vởn	v ɤ4 n
vớt	v ɤ5 t
vợt	v ɤ6 t
vu	v u1
vù	v u2
vũ	v u3
vú	v u5
vụ	v u6
vua	v uə1
vui	v u1 j
vùi	v u2 j
vun	v u1 n
vùn	v u2 n
vụn	v u6 n
vung	v u1 ŋ͡m
vùng	v u2 ŋ͡m
vũng	v u3 ŋ͡m
vụng	v u6 ŋ͡m
vuông	v uə1 ŋ
vuốt	v uə5 t
vuột	v uə6 t
vút	v u5 t
vụt	v u6 t
vừa	v ɯə2
vữa	v ɯə3
vựa	v ɯə6
vức	v ɯ5 k
vực	v ɯ6 k
vừng	v ɯ2 ŋ
vửng	v ɯ4 ŋ
vững	v ɯ3 ŋ
vựng	v ɯ6 ŋ
vược	v ɯə6 k
vươn	v ɯə1 n
vườn	v ɯə2 n
vương	v ɯə1 ŋ
vưởng	v ɯə4 ŋ
vướng	v ɯə5 ŋ
vượng	v ɯə6 ŋ
vượt	v ɯə6 t
vứt	v ɯ5 t
vy	v i1
vỹ	v i3
xa	s a1
xà	s a2
xả	s a4
xã	s a3
xá	s a5
xạ	s a6
xác	s a5 k
xạc	s a6 k
xách	s a5 tʃ
xạch	s a6 tʃ
xài	s a2 j
xàm	s a2 m
xảm	s a4 m
xám	s a5 m
xán	s a5 n
xang	s a1 ŋ
xàng	s a2 ŋ
xanh	s ɛ1 ɲ
xao	s a1 w
xào	s a2 w
xảo	s a4 w
xáo	s a5 w
xạo	s a6 w
xạp	s a6 p
xát	s a5 t
xay	s ă1 j
xảy	s ă4 j
xắc	s ă5 k
xăm	s ă1 m
xắn	s ă5 n
xăng	s ă1 ŋ
xẳng	s ă4 ŋ
xẵng	s ă3 ŋ
xắp	s ă5 p
xắt	s ă5 t
xấc	s ɤ̆5 k
xâm	s ɤ̆1 m
xầm	s ɤ̆2 m
xẩm	s ɤ̆4 m
xấp	s ɤ̆5 p
xập	s ɤ̆6 p
xâu	s ɤ̆1 w
xấu	s ɤ̆5 w
xây	s ɤ̆1 j
xẩy	s ɤ̆4 j
xe	s ɛ1
xè	s ɛ2
xẻ	s ɛ4
xé	s ɛ5
xem	s ɛ1 m
xém	s ɛ5 m
xen	s ɛ1 n
xén	s ɛ5 n
xèng	s ɛ2 ŋ
xẻng	s ɛ4 ŋ
xèo	s eo2
xẻo	s eo4
xéo	s eo5
xẹo	s eo6
xép	s ɛ5 p
xẹp	s ɛ6 p
xét	s ɛ5 t
xê	s e1
xể	s e4
xế	s e5
xệ	s e6
xếch	s e5 tʃ
xệch	s e6 tʃ
xênh	s e1 ɲ
xềnh	s e2 ɲ
xếp	s e5 p
xi	s i1
xì	s i2
xỉ	s i4
xí	s i5
xị	s i6
xỉa	s iə4
xích	s i5 tʃ
xịch	s i6 tʃ
xiếc	s iə5 k
xiêm	s iə1 m
xiên	s iə1 n
xiềng	s iə2 ŋ
xiết	s iə5 t
xiêu	s iə1 w
xin	s i1 n
xỉn	s i4 n
xịn	s i6 n
xinh	s i1 ɲ
xình	s i2 ɲ
xỉnh	s i4 ɲ
xĩnh	s i3 ɲ
xính	s i5 ɲ
xít	s i5 t
xịt	s i6 t
xìu	s i2 w
xỉu	s i4 w
xíu	s i5 w
xo	s ɔ1
xỏ	s ɔ4
xó	s ɔ5
xọ	s ɔ6
xoa	sw ʷa1
xòa	sw ʷa2
xõa	sw ʷa3
xóa	sw ʷa5
xoạc	sw ʷa6 k
xoài	sw a2 j
xoan	sw ʷa1 n
xoàn	sw ʷa2 n
xoang	sw ʷa1 ŋ
xoàng	sw ʷa2 ŋ
xoảng	sw ʷa4 ŋ
xoay	sw ă1 j
xoáy	sw ă5 j
xoăn	sw ʷă1 n
xoắn	sw ʷă5 n
xóc	s ɔ5 k͡p
xọc	s ɔ6 k͡p
xoe	sw ʷɛ1
xoé	sw ʷɛ5
xòe	sw ʷɛ2
xoen	sw ʷɛ1 n
xoèn	sw ʷɛ2 n
xoét	sw ʷɛ5 t
xoẹt	sw ʷɛ6 t
xoi	s ɔ1 j
xói	s ɔ5 j
xóm	s ɔ5 m
xong	s ɔ1 ŋ͡m
xòng	s ɔ2 ŋ͡m
xõng	s ɔ3 ŋ͡m
xoong	s ɔ1 ŋ͡m
xót	s ɔ5 t
xô	s o1
xổ	s o4
xốc	s o5 k͡p
xộc	s o6 k͡p
xôi	s o1 j
xổi	s o4 j
xối	s o5 j
xôm	s o1 m
xồm	s o2 m
xổm	s o4 m
xôn	s o1 n
xốn	s o5 n
xộn	s o6 n
xông	s o1 ŋ͡m
xồng	s o2 ŋ͡m
xổng	s o4 ŋ͡m
xống	s o5 ŋ͡m
xốp	s o5 p
xơ	s ɤ1
xở	s ɤ4
xơi	s ɤ1 j
xởi	s ɤ4 j
xới	s ɤ5 j
xớm	s ɤ5 m
xớt	s ɤ5 t
xợt	s ɤ6 t
xu	s u1
xù	s u2
xú	s u5
xụ	s u6
xua	s uə1
xuân	sw ʷɤ̆1 n
xuẩn	sw ʷɤ̆4 n
xuất	sw ʷɤ̆5 t
xúc	s u5 k͡p
xuê	sw ʷe1
xuề	sw ʷe2
xuể	sw ʷe4
xui	s u1 j
xúi	s u5 j
xụi	s u6 j
xum	s u1 m
xùm	s u2 m
xúm	s u5 m
xung	s u1 ŋ͡m
xúng	s u5 ŋ͡m
xuôi	s uə1 j
xuồng	s uə2 ŋ
xuống	s uə5 ŋ
xụp	s u6 p
xúy	s u5 j
xuyên	sw ʷiə1 n
xuyến	sw ʷiə5 n
xuýt	sw ʷi5 t
xử	s ɯ4
xứ	s ɯ5
xưa	s ɯə1
xửa	s ɯə4
xức	s ɯ5 k
xưng	s ɯ1 ŋ
xửng	s ɯ4 ŋ
xứng	s ɯ5 ŋ
xước	s ɯə5 k
xược	s ɯə6 k
xương	s ɯə1 ŋ
xưởng	s ɯə4 ŋ
xướng	s ɯə5 ŋ
y	i1
ỷ	i4
ý	i5
yểm	iɛ4 m
yếm	iɛ5 m
yên	iɛ1 n
yến	iɛ5 n
yêng	iɛ1 ŋ
yết	iɛ5 t
yêu	iə1 w
yểu	iə4 w
yếu	iə5 w
